DOCUMENT ID,PARTY TYPE,NAME,school,BOROUGH,BLOCK,LOT,STREET NUMBER,STREET NAME,DOC. TYPE,DOC. DATE,DOC. AMOUNT,boro_label
2025060200936001,2,NEW YORK UNIVERSITY,New York University,3,1094,77,503,11 STREET,,,,Brooklyn
2025051300775004,2,NEW YORK UNIVERSITY,New York University,1,554,1003,770,BROADWAY,,,,Manhattan
2025061900537001,1,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,New York University,3,244,1112,134,PIERREPONT STREET,DEED,06/18/2025,4100000,Brooklyn
2025051500657002,1,"UNIVERSITY, FORDHAM",Fordham University,1,1132,1,106,COLUMBUS AVENUE,,,,Manhattan
2025051300775004,2,NEW YORK UNIVERSITY,New York University,1,554,1003,770,BROADWAY,,,,Manhattan
2025051300775005,2,NEW YORK UNIVERSITY,New York University,1,554,1001,770,BROADWAY,,,,Manhattan
2025051300775005,2,NEW YORK UNIVERSITY,New York University,1,554,1002,770,BROADWAY,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,538,40,566,LA GUARDIA PLACE,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,547,25,21,WASHINGTON PLACE,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,549,1,3,WASHINGTON SQUARE N,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,546,10,18,WASHINGTON PLACE,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,541,23,55,WASHINGTON SQUARE S,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,543,53,139,MAC DOUGAL STREET,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,541,33,249,SULLIVAN STREET,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,535,8,567,LA GUARDIA PLACE,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,541,1,40,WASHINGTON SQUARE S,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,535,1,44,WEST 4 STREET,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,547,5,24,WAVERLY PLACE,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,547,8,23,WASHINGTON PLACE,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,546,11,35,WEST 4 STREET,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,548,21,25,WAVERLY PLACE,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,540,14,130,MAC DOUGAL STREET,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,552,26,37,WASHINGTON SQUARE W,,,,Manhattan
2025052100171001,2,NEW YORK UNIVERSITY,New York University,1,541,18,51,WASHINGTON SQUARE S,,,,Manhattan
2025052100091001,2,NEW YORK UNIVERSITY,New York University,1,930,34,421,1 AVENUE,,,,Manhattan
2025052100091001,2,NEW YORK UNIVERSITY,New York University,1,962,100,433,EAST 25 STREET,,,,Manhattan
2025052100091001,2,NEW YORK UNIVERSITY,New York University,1,931,21,334,EAST 26 STREET,,,,Manhattan
2025052000248003,1,FORDHAM UNIVERSITY,Fordham University,2,3273,1,441,EAST FORDHAM ROAD,,,,Bronx
2025052100107001,2,TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1895,16,2881,BROADWAY,,,,Manhattan
2025052100107001,2,TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1895,8,611,WEST 112 STREET,,,,Manhattan
2025052000248001,1,"UNIVERSITY, FORDHAM",Fordham University,2,3273,1,441,EAST FORDHAM ROAD,,,,Bronx
2025051500657001,1,FORDHAM UNIVERSITY,Fordham University,1,1132,1,106,COLUMBUS AVENUE,,,,Manhattan
2025052000248002,1,"UNIVERSITY, FORDHAM",Fordham University,2,3273,1,441,EAST FORDHAM ROAD,,,,Bronx
2025031900985005,2,TRUSTEES OF COLUMBIA UNIVERSITY IN CITY OF NEW YOR,Columbia University,1,1871,1045,245,WEST 99TH STREET,,,,Manhattan
2025022400816001,2,NEW YORK UNIVERSITY,New York University,1,1291,1105,555,MADISON AVE,DEEDO,02/10/2025,0,Manhattan
2025022400816001,2,NEW YORK UNIVERSITY,New York University,1,1291,1102,555,MADISON AVE,DEEDO,02/10/2025,0,Manhattan
2025022400816001,2,NEW YORK UNIVERSITY,New York University,1,1291,1104,555,MADISON AVE,DEEDO,02/10/2025,0,Manhattan
2025022400816001,2,NEW YORK UNIVERSITY,New York University,1,1291,1101,555,MADISON AVE,DEEDO,02/10/2025,0,Manhattan
2025022400816001,2,NEW YORK UNIVERSITY,New York University,1,1291,1103,555,MADISON AVE,DEEDO,02/10/2025,0,Manhattan
2025030300415001,1,NEW YORK UNIVERSITY,New York University,3,820,1001,5423,FIRST AVENUE,,,,Brooklyn
2025030300415001,1,NEW YORK UNIVERSITY,New York University,3,820,1002,5423,FIRST AVENUE,,,,Brooklyn
2025030300415001,1,NEW YORK UNIVERSITY,New York University,3,820,1003,5423,FIRST AVENUE,,,,Brooklyn
2025030300415001,1,NEW YORK UNIVERSITY,New York University,3,820,1007,5423,FIRST AVENUE,,,,Brooklyn
2025030300415001,1,NEW YORK UNIVERSITY,New York University,3,820,1004,5423,FIRST AVENUE,,,,Brooklyn
2025030300415001,1,NEW YORK UNIVERSITY,New York University,3,820,1006,5423,FIRST AVENUE,,,,Brooklyn
2025030300415001,1,NEW YORK UNIVERSITY,New York University,3,820,1005,5423,FIRST AVENUE,,,,Brooklyn
2025030300415001,1,NEW YORK UNIVERSITY,New York University,3,820,58,5423,1 AVENUE,,,,Brooklyn
2025022400816002,1,NEW YORK UNIVERSITY,New York University,1,1291,1101,555,MADISON AVE,,,,Manhattan
2025022400816002,1,NEW YORK UNIVERSITY,New York University,1,1291,1102,555,MADISON AVE,,,,Manhattan
2025022400816002,1,NEW YORK UNIVERSITY,New York University,1,1291,1104,555,MADISON AVE,,,,Manhattan
2025022400816002,1,NEW YORK UNIVERSITY,New York University,1,1291,1103,555,MADISON AVE,,,,Manhattan
2025022400816002,1,NEW YORK UNIVERSITY,New York University,1,1291,1105,555,MADISON AVE,,,,Manhattan
2025022400816001,1,NEW YORK UNIVERSITY,New York University,1,1291,1105,555,MADISON AVE,DEEDO,02/10/2025,0,Manhattan
2025022400816001,1,NEW YORK UNIVERSITY,New York University,1,1291,1102,555,MADISON AVE,DEEDO,02/10/2025,0,Manhattan
2025022400816001,1,NEW YORK UNIVERSITY,New York University,1,1291,1104,555,MADISON AVE,DEEDO,02/10/2025,0,Manhattan
2025022400816001,1,NEW YORK UNIVERSITY,New York University,1,1291,1101,555,MADISON AVE,DEEDO,02/10/2025,0,Manhattan
2025022400816001,1,NEW YORK UNIVERSITY,New York University,1,1291,1103,555,MADISON AVE,DEEDO,02/10/2025,0,Manhattan
2025031800575001,2,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,New York University,1,1841,1215,455,CENTRAL PARK WEST,,,,Manhattan
2025013100440002,1,NEW YORK UNIVERSITY,New York University,1,1291,1103,555,MADISON AVE,,,,Manhattan
2025013100440002,1,NEW YORK UNIVERSITY,New York University,1,1291,1001,555,MADISON AVE,,,,Manhattan
2025013100440002,1,NEW YORK UNIVERSITY,New York University,1,1291,1105,555,MADISON AVE,,,,Manhattan
2025013100440002,1,NEW YORK UNIVERSITY,New York University,1,1291,1102,555,MADISON AVE,,,,Manhattan
2025013100440002,1,NEW YORK UNIVERSITY,New York University,1,1291,1101,555,MADISON AVE,,,,Manhattan
2025013100440002,1,NEW YORK UNIVERSITY,New York University,1,1291,1104,555,MADISON AVE,,,,Manhattan
2025013000453001,2,NEW YORK UNIVERSITY,New York University,1,546,40,1,WEST 4 ST,DEED,01/30/2025,75500000,Manhattan
2025013100440001,2,NEW YORK UNIVERSITY,New York University,1,1291,1101,555,MADISON AVE,,,,Manhattan
2025013100440001,2,NEW YORK UNIVERSITY,New York University,1,1291,1103,555,MADISON AVE,,,,Manhattan
2025013100440001,2,NEW YORK UNIVERSITY,New York University,1,1291,1102,555,MADISON AVE,,,,Manhattan
2025013100440001,2,NEW YORK UNIVERSITY,New York University,1,1291,1104,555,MADISON AVE,,,,Manhattan
2025013100440001,2,NEW YORK UNIVERSITY,New York University,1,1291,1105,555,MADISON AVE,,,,Manhattan
2025012400200006,2,THE TRUSTEES OF COLUMBIA UNIVERSITY IN CITY OF NY,Columbia University,2,5923,336,4515,DOUGLAS AVENUE,,,,Bronx
2025010800511001,2,NEW YORK UNIVERSITY,New York University,1,559,12,106,EAST 14 STREET,,,,Manhattan
2025010800511001,2,NEW YORK UNIVERSITY,New York University,1,559,22,126,EAST 14 STREET,,,,Manhattan
2024112500409002,1,THE NEW SCHOOL,The New School,1,570,1144,21,EAST 12TH STREET,,,,Manhattan
2024103101043002,2,NEW YORK UNIVERSITY,New York University,1,206,1106,123,BAXTER STREET,,,,Manhattan
2024112500409001,2,THE NEW SCHOOL,The New School,1,570,1144,21,EAST 12TH STREET,DEED,11/21/2024,5240000,Manhattan
2024103101043001,2,NEW YORK UNIVERSITY,New York University,1,206,1106,123,BAXTER STREET,,,,Manhattan
2024100800220001,1,NEW YORK UNIVERSITY,New York University,1,888,1402,1,PARK AVE,DEEDO,09/13/2024,0,Manhattan
2024100800220001,1,NEW YORK UNIVERSITY,New York University,1,888,1401,1,PARK AVE,DEEDO,09/13/2024,0,Manhattan
2024100800220001,2,NEW YORK UNIVERSITY,New York University,1,888,1402,1,PARK AVE,DEEDO,09/13/2024,0,Manhattan
2024100800220001,2,NEW YORK UNIVERSITY,New York University,1,888,1401,1,PARK AVE,DEEDO,09/13/2024,0,Manhattan
2024092300449001,2,TRUSTEES OF COLUMBIA UNIVERSITY IN NYC,Columbia University,1,1563,24,1569,YORK AVENUE,,,,Manhattan
2024092500379001,2,NEW YORK UNIVERSITY,New York University,3,1162,1403,529,PARK PLACE,,,,Brooklyn
2024091300480001,2,NEW YORK UNIVERSITY,New York University,3,820,58,5423,FIRST AVENUE,,,,Brooklyn
2024091000076001,1,PRATT INSTITUTE,Pratt Institute,3,1920,1,200,WILLOUGHBY AVENUE,,,,Brooklyn
