DOCUMENT ID,RECORD TYPE,PARTY TYPE,NAME,ADDRESS 1,ADDRESS 2,COUNTRY,CITY,STATE,ZIP,GOOD THROUGH DATE,owner_group,BOROUGH,BLOCK,LOT,STREET NUMBER,STREET NAME,DOC. TYPE,DOC. DATE,DOC. AMOUNT,boro_label
2025071600077002,P,2,"NEW YORK UNIVERSITY FEDERAL, CREDIT UNION",726 BROADWAY,SUITE 100,US,NEW YORK,NY,10003,2025 Jul 31 12:00:00 AM,New York University,4,1155,59,32-43,53RD PLACE,,,,Queens
2025072200658002,P,1,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH 11TH FLOOR,,US,NEW YORK,NY,10012,2025 Jul 31 12:00:00 AM,New York University,1,1373,1334,425,MAIN STREET,,,,Manhattan
2025072500004001,P,1,NEW YORK UNIVERSITY,"425 MAIN STREET, UNIT 6F",,US,NEW YORK,NY,10044,2025 Jul 31 12:00:00 AM,New York University,1,1373,1381,425,MAIN STREET,DEED,07/21/2025,1280000,Manhattan
2025060200936001,P,2,NEW YORK UNIVERSITY,,,,,,,2025 Jun 30 12:00:00 AM,New York University,3,1094,77,503,11 STREET,,,,Brooklyn
2025051300775004,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,12TH FL,US,NEW YORK,NY,10012,2025 Jun 30 12:00:00 AM,New York University,1,554,1003,770,BROADWAY,,,,Manhattan
2025061900537001,P,1,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,40 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Jun 30 12:00:00 AM,New York University,3,244,1112,134,PIERREPONT STREET,DEED,06/18/2025,4100000,Brooklyn
2025051300775004,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,12TH FL,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,554,1003,770,BROADWAY,,,,Manhattan
2025051300775005,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,12TH FLOOR,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,554,1001,770,BROADWAY,,,,Manhattan
2025051300775005,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,12TH FLOOR,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,554,1002,770,BROADWAY,,,,Manhattan
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,538,40,566,LA GUARDIA PLACE,,,,Manhattan
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,547,25,21,WASHINGTON PLACE,,,,Manhattan
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,549,1,3,WASHINGTON SQUARE N,,,,Manhattan
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,546,10,18,WASHINGTON PLACE,,,,Manhattan
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,541,23,55,WASHINGTON SQUARE S,,,,Manhattan
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,543,53,139,MAC DOUGAL STREET,,,,Manhattan
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,541,33,249,SULLIVAN STREET,,,,Manhattan
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,535,8,567,LA GUARDIA PLACE,,,,Manhattan
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,541,1,40,WASHINGTON SQUARE S,,,,Manhattan
2025052100171001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 May 31 12:00:00 AM,New York University,1,535,1,44,WEST 4 STREET,,,,Manhattan
