school,boro_label,BLOCK,LOT,STREET NUMBER,STREET NAME,NAME,PARTY TYPE,DOC. TYPE,DOC. DATE,is_new
Columbia University,Manhattan,2094,37,606,WEST 148 STREET,THE TRUSTEES OF COLUMBIA UNIV IN THE CITY OF NY,2,,,True
Columbia University,Manhattan,1120,1,,,COLUMBIA UNIVERSITYETAL,2,,,True
Columbia University,Manhattan,1891,67,,,COLUMBIA UNIV IN NYCTR,2,DEED,,True
New York University,Manhattan,1373,1484,425,MAIN STREET,NEW YORK UNIVERSITY,1,,,True
Columbia University,Manhattan,759,18,,,COLUMBIA UNIV NYC TR,1,,,True
Columbia University,Bronx,3963,10,,,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,,,True
Columbia University,Bronx,3154,45,,,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,,,True
New York University,Brooklyn,1043,36,362A,14TH   STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,574,50,,,NEW YORK UNIVERSITY,1,DEED,10/30/1998,True
St. John's University,Queens,9889,1,84-01,HOMELAWN STREET,ST JOHN'S UNIVERSITYNY,2,DEED,09/03/1991,True
New York University,Manhattan,1373,1363,425,MAIN STREET,NEW YORK UNIVERSITY,1,DEED,11/30/2012,True
Columbia University,Manhattan,2099,40,,,COLUMBIA UNIV NYC TRTS,2,,,True
Columbia University,Bronx,5922,264,,,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,2,DEED,01/14/1969,True
Columbia University,Manhattan,1997,33,3249,BROADWAY,THE TRUSTEES OF COLUMBIA UNIV IN THE CITY OF NY,2,DEED COR,12/15/2004,True
Columbia University,Manhattan,793,5,,,COLUMBIA UNIVERSITYTR,2,,,True
Columbia University,Manhattan,1152,53,,,TRST COLUMBIA UNIV N.Y.,1,,,True
Columbia University,Manhattan,1152,13,,,TRST COLUMBIA UNIV N.Y.,1,,,True
Columbia University,Manhattan,1152,52,,,TRST COLUMBIA UNIV N.Y.,1,,,True
Columbia University,Manhattan,1152,43,,,TRST COLUMBIA UNIV N.Y.,1,,,True
Columbia University,Manhattan,1033,41,,,COLUMBIA UNIV NY TRUSTEE,2,DEED,,True
New York University,Manhattan,1373,1336,425,MAIN STREET,NEW YORK UNIVERSITY,2,DEED,06/21/2007,True
The New School,Manhattan,819,59,26,WEST 18 STREET,NEW SCHOOL UNIVERSITY,1,DEEDO,12/16/2002,True
New York University,Manhattan,550,17,60,WASHINGTON MEWS,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,550,18,62,WASHINGTON MEWS,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,550,30,18,EAST 8TH   STREET,NEW YORK UNIVERSITY,1,,,False
New York University,Manhattan,550,16,58,WASHINGTON MEWS,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,550,24,6,EAST 8TH   STREET,NEW YORK UNIVERSITY,1,,,False
New York University,Manhattan,550,32,22,EAST 8TH   STREET,NEW YORK UNIVERSITY,1,,,False
New York University,Manhattan,1373,1338,425,MAIN STREET,NEW YORK UNIVERSITY,1,,,True
Columbia University,Bronx,5940,360,,,TRUSTEES/COLUMBIA UNIVER,2,,,True
New York University,Manhattan,1373,1514,425,MAIN STREET,NEW YORK UNIVERSITY,1,DEED,08/22/2012,True
New York University,Manhattan,1393,1001,,,NEW YORK UNIVERSITY,2,DEED,12/31/1998,True
New York University,Manhattan,1373,1509,425,MAIN STREET,NEW YORK UNIVERSITY,1,DEED,07/18/2012,True
New York University,Manhattan,1373,1442,425,MAIN STREET,NEW YORK UNIVERSITY,1,DEED,09/24/2008,True
Columbia University,Manhattan,2123,81,49,AUDUBON AVENUE,THE TRUSTEES OF COLUMBIA UNIVERSITY,1,,,True
Columbia University,Manhattan,2123,80,47,AUDUBON AVENUE,THE TRUSTEES OF COLUMBIA UNIVERSITY,1,,,True
Columbia University,Manhattan,2123,82,51,AUDUBON AVENUE,THE TRUSTEES OF COLUMBIA UNIVERSITY,1,,,True
Columbia University,Manhattan,700,38,,,COLUMBIA UNIVERSITYTRUSTEE/,2,,,True
Columbia University,Manhattan,700,27,,,COLUMBIA UNIVERSITYTRUSTEE/,2,,,True
New York University,Manhattan,535,33,13,WEST THIRD STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,52,8,133,GREENWICH STREET,NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,35,10,,,COLUMBIA UNIVERSTY NYC,1,,,True
New York University,Manhattan,939,34,,,NEW YORK UNIVERSITY,1,DEED,05/23/1997,True
Columbia University,Manhattan,33,34,,,COLUMBIA UNIV CITY OF N,2,,,True
Columbia University,Manhattan,33,10,,,COLUMBIA UNIV CITY OF N,2,,,True
Columbia University,Manhattan,33,41,,,COLUMBIA UNIV CITY OF N,2,,,True
Columbia University,Manhattan,33,33,,,COLUMBIA UNIV CITY OF N,2,,,True
Columbia University,Manhattan,1996,50,632,WEST 130TH ST.,THE TRUSTEES OF COLUMBIA UNIV. IN THE CITY OF NY,2,,,True
Columbia University,Manhattan,1865,1,1021,AMSTERDAM AVENUE,THE TRUSTEES OF COLUMBIA UNIV. IN THE CITY OF NY,2,,,True
New York University,Manhattan,930,20,,,NEW YORK UNIVERSITY,2,DEED,,True
New York University,Manhattan,918,1013,240,EAST 38TH   STREET,NEW YORK UNIVERSITY,2,DEED,12/21/2010,True
New York University,Manhattan,918,1011,240,EAST 38TH   STREET,NEW YORK UNIVERSITY,2,DEED,12/21/2010,True
New York University,Manhattan,918,1012,240,EAST 38TH   STREET,NEW YORK UNIVERSITY,2,DEED,12/21/2010,True
New York University,Manhattan,918,1003,240,EAST 38TH   STREET,NEW YORK UNIVERSITY,2,DEED,12/21/2010,True
New York University,Manhattan,918,1002,240,EAST 38TH   STREET,NEW YORK UNIVERSITY,2,DEED,12/21/2010,True
New York University,Manhattan,918,1009,240,EAST 38TH   STREET,NEW YORK UNIVERSITY,2,DEED,12/21/2010,True
New York University,Manhattan,918,1014,240,EAST 38TH   STREET,NEW YORK UNIVERSITY,2,DEED,12/21/2010,True
New York University,Manhattan,918,1010,240,EAST 38TH   STREET,NEW YORK UNIVERSITY,2,DEED,12/21/2010,True
New York University,Manhattan,918,1001,240,EAST 38TH   STREET,NEW YORK UNIVERSITY,2,DEED,12/21/2010,True
New York University,Manhattan,918,1004,240,EAST 38TH   STREET,NEW YORK UNIVERSITY,2,DEED,12/21/2010,True
New York University,Manhattan,918,1005,240,EAST 38TH   STREET,NEW YORK UNIVERSITY,2,DEED,12/21/2010,True
