parcel_key,corporationname,building_address,boro,block,lot,property_type
3-1918-50,PRATT INSTITUTE,"Block 1918 Lot 50, Brooklyn, NY",BROOKLYN,1918,50,PA
3-1918-1,PRATT INSTITUTE,"Block 1918 Lot 1, Brooklyn, NY",BROOKLYN,1918,1,PA
3-1919-2,PRATT INSTITUTE,"Block 1919 Lot 2, Brooklyn, NY",BROOKLYN,1919,2,PA
1-1377-5,NEW YORK UNIVERSITY,"Block 1377 Lot 5, Manhattan, NY",MANHATTAN,1377,5,PA
4-6609-60,NEW YORK UNIVERSITY,"13817 78TH RD, Queens, NY",QUEENS,6609,60,D1
3-1276-1003,COLUMBIA UNIVERSITY,"1229 PRESIDENT STREET, Brooklyn, NY",BROOKLYN,1276,1003,SC
4-11553-45,COLUMBIA UNIVERSITY,"149-43 CENTERVILLE STREET, Queens, NY",QUEENS,11553,45,D1
1-2050-65,COLUMBIA UNIVERSITY,"60 HAMILTON TERRACE, Manhattan, NY",MANHATTAN,2050,65,PA
1-1896-9,COLUMBIA UNIVERSITY,"619 WEST 114TH STREET, Manhattan, NY",MANHATTAN,1896,9,RS
1-1896-36,COLUMBIA UNIVERSITY,"Block 1896 Lot 36, Manhattan, NY",MANHATTAN,1896,36,PA
1-866-39,PRATT INSTITUTE,"Block 866 Lot 39, Manhattan, NY",MANHATTAN,866,39,PA
1-1896-38,COLUMBIA UNIVERSITY,"619 WEST 114 STREET, Manhattan, NY",MANHATTAN,1896,38,OT
1-1896-9009,COLUMBIA UNIVERSITY,"611 WEST 114 STREET, Manhattan, NY",MANHATTAN,1896,9009,OT
1-886-23,PRATT INSTITUTE,"164 LEXINGTON AVENUE, Manhattan, NY",MANHATTAN,886,23,F4
1-886-21,PRATT INSTITUTE,"160 LEXINGTON AVENUE, Manhattan, NY",MANHATTAN,886,21,OF
1-886-18,PRATT INSTITUTE,"Block 886 Lot 18, Manhattan, NY",MANHATTAN,886,18,PA
2-5762-494,COLUMBIA UNIVERSITY,"3453 CORLEAR AVENUE, Bronx, NY",BRONX,5762,494,PA
1-1215-53,THE NEW SCHOOL,"150 WEST 85TH STREET, Manhattan, NY",MANHATTAN,1215,53,OT
1-397-1105,NEW YORK UNIVERSITY,"240 EAST HOUSTON STREET, Manhattan, NY",MANHATTAN,397,1105,SC
1-1997-27,COLUMBIA UNIVERSITY,"603-7 WEST 130TH STREET, Manhattan, NY",MANHATTAN,1997,27,CR
1-1258-42,COLUMBIA UNIVERSITY,"4 WEST 43 STREET, Manhattan, NY",MANHATTAN,1258,42,RS
1-2123-68,COLUMBIA UNIVERSITY,"2142 AMSTERDAM AVENUE, Manhattan, NY",MANHATTAN,2123,68,VN
1-571-1501,THE NEW SCHOOL,"10 EAST 14TH STREET, Manhattan, NY",MANHATTAN,571,1501,CC
1-1882-8,COLUMBIA UNIVERSITY,"535 WEST 110 STREET, Manhattan, NY",MANHATTAN,1882,8,SP
1-632-1111,NEW YORK UNIVERSITY,"132 PERRY STREET, Manhattan, NY",MANHATTAN,632,1111,CC
4-7822-32,COLUMBIA UNIVERSITY,"219-10 82ND   AVENUE, Queens, NY",QUEENS,7822,32,PA
1-1883-1154,COLUMBIA UNIVERSITY,"516 WEST  112 STREET, Manhattan, NY",MANHATTAN,1883,1154,PA
1-540-22,NEW YORK UNIVERSITY,"Block 540 Lot 22, Manhattan, NY",MANHATTAN,540,22,PA
1-540-21,NEW YORK UNIVERSITY,"Block 540 Lot 21, Manhattan, NY",MANHATTAN,540,21,PA
1-540-17,NEW YORK UNIVERSITY,"Block 540 Lot 17, Manhattan, NY",MANHATTAN,540,17,PA
1-540-20,NEW YORK UNIVERSITY,"Block 540 Lot 20, Manhattan, NY",MANHATTAN,540,20,PA
1-540-16,NEW YORK UNIVERSITY,"Block 540 Lot 16, Manhattan, NY",MANHATTAN,540,16,PA
4-3197-37,COLUMBIA UNIVERSITY,"93-13 69 AVENUE, Queens, NY",QUEENS,3197,37,D1
1-1885-1002,COLUMBIA UNIVERSITY,"Block 1885 Lot 1002, Manhattan, NY",MANHATTAN,1885,1002,PA
1-1950-14,COLUMBIA UNIVERSITY,"565 MANHATTAN AVENUE, Manhattan, NY",MANHATTAN,1950,14,AP
1-1950-55,COLUMBIA UNIVERSITY,"4 HANCOCK PLACE, Manhattan, NY",MANHATTAN,1950,55,VN
1-1997-44,COLUMBIA UNIVERSITY,"614 WEST 131ST ST., Manhattan, NY",MANHATTAN,1997,44,CR
1-1996-21,COLUMBIA UNIVERSITY,"613 WEST 129 STREET (ADJACENT TO), Manhattan, NY",MANHATTAN,1996,21,VN
1-1997-49,COLUMBIA UNIVERSITY,"624 WEST 131 STREET, Manhattan, NY",MANHATTAN,1997,49,VN
1-1996-16,COLUMBIA UNIVERSITY,"633 WEST  125 STREET, Manhattan, NY",MANHATTAN,1996,16,PA
1-1997-6,COLUMBIA UNIVERSITY,"641 WEST 130 STREET (ADJACENT TO), Manhattan, NY",MANHATTAN,1997,6,VN
1-1997-14,COLUMBIA UNIVERSITY,"625 WEST  130 STREET, Manhattan, NY",MANHATTAN,1997,14,PA
1-1997-34,COLUMBIA UNIVERSITY,"3251 BROADWAY, Manhattan, NY",MANHATTAN,1997,34,IB
1-1997-18,COLUMBIA UNIVERSITY,"617 WEST 130 STREET, Manhattan, NY",MANHATTAN,1997,18,VN
1-1997-40,COLUMBIA UNIVERSITY,"604 WEST  131 STREET, Manhattan, NY",MANHATTAN,1997,40,PA
1-1997-9,COLUMBIA UNIVERSITY,"631 WEST 130 STREET (ADJACENT TO), Manhattan, NY",MANHATTAN,1997,9,PA
1-1997-48,COLUMBIA UNIVERSITY,"622 WEST 131 STREET (ADJACENT TO), Manhattan, NY",MANHATTAN,1997,48,VN
1-1997-17,COLUMBIA UNIVERSITY,"623 WEST 130 STREET (ADJACENT TO), Manhattan, NY",MANHATTAN,1997,17,PA
1-1996-18,COLUMBIA UNIVERSITY,"627 WEST  129 STREET, Manhattan, NY",MANHATTAN,1996,18,PA
1-1997-47,COLUMBIA UNIVERSITY,"620 WEST  131 STREET, Manhattan, NY",MANHATTAN,1997,47,PA
1-1996-20,COLUMBIA UNIVERSITY,"623 WEST 129 STREET, Manhattan, NY",MANHATTAN,1996,20,CR
2-5821-2810,COLUMBIA UNIVERSITY,"4684 GROSVENOR AVENUE, Bronx, NY",BRONX,5821,2810,OT
1-628-4,COLUMBIA UNIVERSITY,"10 9 AVENUE, Manhattan, NY",MANHATTAN,628,4,OT
1-628-12,COLUMBIA UNIVERSITY,"Block 628 Lot 12, Manhattan, NY",MANHATTAN,628,12,PA
