CorporationName,building_address,business_address,RegistrationID,BuildingID,Boro,BoroID,Block,Lot,BIN,RegistrationContactID
TRUSTEES OF COLUMBIA UNIVERSITY,"411 WEST 115 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",121881,38279,MANHATTAN,1,1867,52,1056050.0,12188103
TRUSTEES OF COLUMBIA UNIVERSITY,"521 WEST 111 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",126083,37893,MANHATTAN,1,1883,18,1056977.0,12608303
FORDHAM UNIVERSITY,"2537 BELMONT AVENUE, NEW YORK, NY, 10458","441 E FORDHAM RD Cunniffe House APARTMENT 200, BRONX, NY 10458",710743,49532,BRONX,2,3273,234,2016248.0,71074314
TRUSTEES OF COLUMBIA UNIVERSITY`,"604 WEST 114 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",126990,38197,MANHATTAN,1,1895,163,1057362.0,12699003
TRUSTEES OF COLUMBIA UNIVERSITY,"554 WEST 114 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",110334,38195,MANHATTAN,1,1885,58,1057048.0,11033403
TRUSTEES OF COLUMBIA UNIVERSITY,"610 WEST 116 STREET, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",115383,38411,MANHATTAN,1,1896,77,1057382.0,11538303
NEW YORK UNIVERSITY,"33 WASHINGTON SQUARE WEST, NEW YORK, NY, 10011","10 ASTOR PLACE, NEW YORK, NY 10003",137428,29246,MANHATTAN,1,552,24,1008875.0,13742803
NEW YORK UNIVERSITY,"33 WASHINGTON SQUARE WEST, NEW YORK, NY, 10011","10 ASTOR PLACE APARTMENT 7TH FL, NEW YORK, NY 10003",137428,29246,MANHATTAN,1,552,24,1008875.0,13742804
TRUSTEES OF COLUMBIA UNIVERSITY,"415 WEST 118 STREET, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",102347,38603,MANHATTAN,1,1962,11,1059503.0,10234703
TRUSTEES OF COLUMBIA UNIVERSITY,"3291 BROADWAY, NEW YORK, NY, 10027","400 W 119 STREET, New York, NY 10027",119574,8009,MANHATTAN,1,1999,36,1059940.0,11957403
TRUSTEES OF COLUMBIA UNIVERSITY,"2891 BROADWAY, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",113547,7942,MANHATTAN,1,1895,23,1057337.0,11354703
TRUSTEES OF COLUMBIA UNIVERSITY,"548 WEST 114 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",128550,38192,MANHATTAN,1,1885,56,1057046.0,12855003
TRUSTEES OF COLUMBIA UNIVERSITY,"556 WEST 113 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",111018,38093,MANHATTAN,1,1884,156,1057017.0,11101803
TRUSTEE OF COLUMBIA UNIVERSITY,"1124 AMSTERDAM AVENUE, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",121104,804000,MANHATTAN,1,1886,1,1084845.0,12110403
TRUSTEES OF COLUMBIA UNIVERSITY,"536 WEST 114 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, New York, NY 10027",132163,38186,MANHATTAN,1,1885,51,1057041.0,13216303
TRUSTEES OF COLUMBIA UNIVERSITY,"605 WEST 115 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",140845,806041,MANHATTAN,1,1896,57,1084327.0,14084503
TRUSTEES OF COLUMBIA UNIVERSITY,"2910 BROADWAY, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",107855,7949,MANHATTAN,1,1885,61,1057049.0,10785503
THE NEW SCHOOL,"68 5 AVENUE, NEW YORK, NY, 10011","55 WEST 13TH STREET, New York, NY 10011",103541,2903,MANHATTAN,1,576,41,1009618.0,10354103
